Alamat,Industri,SubIndustri,Email,Fax,KegiatanUsahaUtama,KodeEmiten,NPWP,PapanPencatatan,Sektor,SubSektor,TanggalPencatatan,Telepon,Website,Logo,NamaEmiten
"GEDUNG TREASURY TOWER LT. 26 & 27 DISTRICT 8, SCBD LOT. 28 JL. JEND. SUDIRMAN KAV. 52 - 53 JAKARTA",BANKS,BANKS,saudara@bankwoorisaudara.com,(62-21) 50871900,PERBANKAN,SDRA,01.148.782.4-054.000,DEVELOPMENT,FINANCIALS,BANKS,2006-12-15T00:00:00,(62-21) 50871906,www.bankwoorisaudara.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SDRA.jpg,PT BANK WOORI SAUDARA INDONESIA 1906 TBK
"JALAN INTAN I KP. PONCOL, RT 001, RW 001, KEL. CURUG, KEC. GUNUNG SINDUR, KAB. BOGOR, PROV. JAWA BARAT",ALTERNATIVE ENERGY EQUIPMENT,ALTERNATIVE ENERGY EQUIPMENT,info@sema.id,+62 251 861 5874,"BERGERAK DALAM KEGIATAN USAHA PRODUKSI PANEL LISTRIK, PERAKITAN BATERAI LISTRIK DAN ENERGI TERBARUKAN",SEMA,21.137.319.6-411.000,DEVELOPMENT,ENERGY,ALTERNATIVE ENERGY,2022-01-10T00:00:00,+62 251 8615872,https://sema.id/,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SEMA.jpg,PT SEMACOM INTEGRATED TBK
"SATRIO TOWER LANTAI 14, JALAN PROF. DR. SATRIO KAV. C4 KAWASAN MEGA KUNINGAN, JAKARTA SELATAN 12950, INDONESIA",HOLDING & INVESTMENT COMPANIES,FINANCIAL HOLDINGS,corporate@sfcapital.co.id,+62 21 2598 1342,"BERGERAK DALAM BIDANG INVESTASI, JASA, KONSULTASI MANAJEMEN DAN BISNIS, PERDAGANGAN DAN KEUANGAN SERTA BERGERAK DIBIDANG JASA KEUANGAN LAINNYA MELALUI PERUSAHAAN ANAK.",SFAN,76.573.695.4-077.000,DEVELOPMENT,FINANCIALS,HOLDING & INVESTMENT COMPANIES,2019-06-19T00:00:00,+62 21 2251 3339,www.sfcapital.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SFAN.jpg,PT SURYA FAJAR CAPITAL TBK
"GRAHA BIP LANTAI 2, JALAN GATOT SUBROTO KAV. 23, JAKARTA SELATAN 12930",COAL,COAL DISTRIBUTION,corsec@sumberglobalenergy.com,021-2500243,"PERDAGANGAN BESAR BAHAN BAKAR PADAT, CAIR, GAS, ENERGI TERBARU DAN TERBARUKAN SERTA PERTAMBANGAN LOGAM DAN MINERAL TANAH JARANG (RARE EARTH) DI PERUSAHAAN ANAK",SGER,02.795.370.2-081.000,MAIN,ENERGY,"OIL, GAS & COAL",2020-08-10T00:00:00,021-2500120,www.sumberglobalenergy.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SGER.jpg,PT SUMBER GLOBAL ENERGY TBK
"SAMPOERNA STRATEGIC SQUARE NORTH, LT. 28 JL. JEND. SUDIRMAN KAV. 45 JAKARTA 12930",AGRICULTURAL PRODUCTS,PLANTATIONS & CROPS,eris.ariaman@sampoernaagro.com,021-577 1712,AGRICULTURE PLANTATION,SGRO,01.598.906.4-054-000,MAIN,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2007-06-18T00:00:00,021-577 1711,www.sampoernaagro.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SGRO.jpg,PT SAMPOERNA AGRO TBK
JL. JEND. SUDIRMAN NO. 86 JAKARTA - 10220,TOURISM & RECREATION,"HOTELS, RESORTS & CRUISE LINES",a,5701619,HOTEL AND TOURISM,SHID,01.002.979.1-054.000,DEVELOPMENT,CONSUMER CYCLICALS,CONSUMER SERVICES,1990-05-08T00:00:00,5703232,www.pthsji.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SHID.jpg,HOTEL SAHID JAYA TBK
"GHJ SUITE LANTAI 5-6, JL. TANAH ABANG III NO. 18, PETOJO, GAMBIR, JAKARTA PUSAT 10160",OIL & GAS,OIL & GAS STORAGE & DISTRIBUTION,corpsec@sillomp.com,(62-21)3867521,USAHA PELAYARAN,SHIP,01.342.992.3-081.000,MAIN,ENERGY,"OIL, GAS & COAL",2016-06-16T00:00:00,(62-21)3863861,www.sillomaritime.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SHIP.jpg,PT SILLO MARITIME PERDANA TBK
"GKM GREEN TOWER 10TH FLOOR JL. TB SIMATUPANG KAV 89 G JAKARTA SELATAN, 12520","OIL, GAS & COAL SUPPORTS","OIL, GAS & COAL EQUIPMENT & SERVICES",corpsec@sinerco.co.id,02127878090,PERSEROAN BERGERAK DALAM BIDANG USAHAJASA PENYEWAAN ALAT-ALAT UNTUKMONETISASI MINYAK DAN GAS SUAR BAKAR DENGAN MENGGUNAKAN TEKNOLOGI KOMPRESIUNTUK PENURUNAN EMISI GAS RUMAH KACA,SICO,0025.2751.6501.4000,DEVELOPMENT,ENERGY,"OIL, GAS & COAL",2022-04-08T00:00:00,02127878099,www.sinerco.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SICO.jpg,PT SIGMA ENERGY COMPRESSINDO TBK
"OFFICE SIDO MUNCUL, LANTAI 1, GEDUNG HOTEL TENTREM, JL. GAJAHMADA NO. 123, KEL. PEKUNDEN, KEC. SEMARANG TENGAH, SEMARANG, 50134.",PHARMACEUTICALS,PHARMACEUTICALS,info@sidomuncul.co.id,(024) 7692 8815,BERGERAK DALAM BIDANG USAHA INDUSTRI JAMU DAN FARMASI,SIDO,0011 0675 3505 4000,MAIN,HEALTHCARE,PHARMACEUTICALS & HEALTH CARE RESEARCH,2013-12-18T00:00:00,(024) 7692 8811,www.sidomuncul.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SIDO.jpg,PT INDUSTRI JAMU DAN FARMASI SIDO MUNCUL TBK
"GDG FAK. KEDOKTERAN UPH LT. 32, JL. BOULEVARD JEND. SUDIRMAN NO. 15, LIPPO VILLAGE, TANGERANG 15810",HEALTHCARE PROVIDERS,HEALTHCARE PROVIDERS,corporate.secretary@siloamhospitals.com,021-5460075,JASA PELAYANAN KESEHATAN MASYARAKAT,SILO,01.788.139.2-054.000,MAIN,HEALTHCARE,HEALTHCARE EQUIPMENT & PROVIDERS,2013-09-12T00:00:00,021-25668000,www.siloamhospitals.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SILO.jpg,PT SILOAM INTERNATIONAL HOSPITALS TBK
"SUDIRMAN PLAZA, INDOFOOD TOWER, LANTAI 11 JALAN JENDRAL SUDIRMAN KAV. 76-78 JAKARTA 12910",AGRICULTURAL PRODUCTS,PLANTATIONS & CROPS,corporate.secretary@simp.co.id,6221 57937504,"AGRIBISNIS YANG TERDIVERSIFIKASI SERTA TERINTEGRASI SECARA VERTIKAL YANG KEGIATAN UTAMANYA MELIPUTI SELURUH MATA RANTAI PASOKAN DARI PENELITIAN DAN PENGEMBANGAN PEMULIAAN BENIH BIBIT, PEMBUDIDAYAAN DAN PENGOLAHAN KELAPA SAWIT HINGGA PRODUKSI SERTA PEMASARAN PRODUK MINYAK GORENG, MARGARINE DAN SHORTENING",SIMP,0015 9618 3209 2000,MAIN,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2011-06-09T00:00:00,6221 5795 8822,www.simp.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SIMP.jpg,SALIM IVOMAS PRATAMA TBK
JL. GALERIA SINGARAJA BLOK C 16-17 LIPPO CIKARANG KABUPATEN BEKASI 17550,BUILDING PRODUCTS & FIXTURES,BUILDING PRODUCTS & FIXTURES,corsec@singarajaputra.com,0,PENYEDIA PENGINAPAN DAN MERUPAKAN PERUSAHAAN INDUK DARI PERUSAHAAN ANAK YANG BERGERAK DI BIDANG PERUSAHAAN KAYU DAN PERTAMBANGAN BATUBARA,SINI,02.422.613.6-413.000,WATCHLIST,INDUSTRIALS,INDUSTRIAL GOODS,2019-11-08T00:00:00,021-8974309,www.singarajaputra.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SINI.jpg,PT SINGARAJA PUTRA TBK
"SEQUIS TOWER, LANTAI 40, JL. JENDERAL SUDIRMAN KAV.71, JAKARTA SELATAN, 12190",AGRICULTURAL PRODUCTS,"FISH, MEAT, & POULTRY",info.sreeya@sreeyasewu.com,021-27083636,ANIMAL FEED,SIPD,01.393.676.0-054.000,WATCHLIST,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,1996-12-27T00:00:00,021-50991599,www.sreeyasewu.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SIPD.jpg,PT SREEYA SEWU INDONESIA TBK
"PLAZA ASIA FL. 21, JL. JENDERAL SUDIRMAN KAV. 59, JAKARTA 12190",PROCESSED FOODS,PROCESSED FOODS,skbm@sekarbumi.com,(021) 51401212,MANUFAKTUR DAN PENYALUR MAKANAN OLAHAN BEKU,SKBM,01.148.487.0-054.000,DEVELOPMENT,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2012-09-28T00:00:00,(021) 51401122,www.sekarbumi.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SKBM.jpg,SEKAR BUMI TBK
"JL. RAYA DARMO NO. 23-25, SURABAYA",PROCESSED FOODS,PROCESSED FOODS,sekarlaut@sekar.co.id,"(031) 567-2318, (031) 567-6240",INDUSTRI MAKANAN,SKLT,01.140.938.0-054.000,DEVELOPMENT,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,1993-09-08T00:00:00,(031) 567-1371,www.sekarlaut.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SKLT.jpg,SEKAR LAUT TBK
"JL. RAYA CAKUNG CILINCING NO. 9B, JAKARTA UTARA 14130 INDONESIA",MACHINERY,CONSTRUCTION MACHINERY & HEAVY VEHICLES,superkrane@superkrane.com,(021) 441 8290,"BERGERAK DI BIDANG USAHA DALAM BIDANG JASA SEWA CRANE DAN ALAT-ALAT BERAT/FLEETS LAINNYA, JASA KONSTRUKSI LIFTING, PENGANGKUTAN UMUM DAN PERDAGANGAN UMUM LAINNYA.",SKRN,01.749.696.9-045.000,MAIN,INDUSTRIALS,INDUSTRIAL GOODS,2018-10-11T00:00:00,(021) 441 3455,www.superkrane.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SKRN.jpg,PT SUPERKRANE MITRA UTAMA TBK
"JL RAYA SERANG KM 14,2 NO 8, PASIR GADUNG, CIKUPA, BANTEN",SPECIALTY RETAIL,ELECTRONICS RETAIL,corporate@gaya-slis.com,(021)4520716,PERDAGANGAN KOMPONEN ELEKTRONIK SERTA MELALUI PERUSAHAAN ANAK PENYEDIAAN DAN PENJUALANKENDARAAN RAMAH LINGKUNGAN DENGAN SUMBER DAYA ENERGI LISTRIK (ELECTRIC VEHICLE),SLIS,01.679.755.7-415.000,DEVELOPMENT,CONSUMER CYCLICALS,RETAILING,2019-10-07T00:00:00,(021)22597464,www.gaya-slis.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SLIS.jpg,PT GAYA ABADI SEMPURNA TBK
JL. ABIKUSNO COKROSUYOSO PO BOX 1175 KERTAPATI PALEMBANG SUMATERA SELATAN 30258,CONSTRUCTION MATERIALS,CONSTRUCTION MATERIALS,corsec.smbr@sig.id,(0711) 512126,INDUSTRI PERSEMENAN DAN KIMIA DASAR LAINNYA,SMBR,01.002.115.2-051.000,MAIN,BASIC MATERIALS,BASIC MATERIALS,2013-06-28T00:00:00,(0711) 511261,www.semenbaturaja.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SMBR.jpg,PT SEMEN BATURAJA TBK
"TALAVERA SUITE 15TH FLOOR, TALAVERA OFFICE PARK, JL. TB SIMATUPANG NO. 22-26 JAKARTA 12430",CONSTRUCTION MATERIALS,CONSTRUCTION MATERIALS,corpsec.sbi@sig.id,29863333,BASIC INDUSTRY AND CHEMICALS - CEMENT,SMCB,01.001.707.7-092.000,WATCHLIST,BASIC MATERIALS,BASIC MATERIALS,1977-08-10T00:00:00,29861000,https://solusibangunindonesia.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SMCB.jpg,PT SOLUSI BANGUN INDONESIA TBK
"SPBC, PLAZA MAREIN LT.16, JL. JEND. SUDIRMAN KAV.76-78 JAKARTA",REAL ESTATE MANAGEMENT & DEVELOPMENT,REAL ESTATE DEVELOPMENT & MANAGEMENT,corsec@rancamaya.com,(021) 5793 6730,PROPERTY DAN REAL ESTATE,SMDM,01.348.493.6-054.000,DEVELOPMENT,PROPERTIES & REAL ESTATE,PROPERTIES & REAL ESTATE,1995-10-12T00:00:00,(021) 5793 6733,www.rancamaya.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SMDM.jpg,SURYAMAS DUTAMAKMUR TBK
"GEDUNG SAMUDERA INDONESIA LT. 8 JL. LETJEN S PARMAN KAV. 35 RT.004 RW. 003 KEMANGGISAN – PALMERAH JAKARTA BARAT, DKI JAKARTA",LOGISTICS & DELIVERIES,LOGISTICS & DELIVERIES,corporate.secretary@samudera.id,(021) 25675628,JASA PELAYARAN ANG LAUT,SMDR,01.001.895.0-054.000,MAIN,TRANSPORTATION & LOGISTIC,LOGISTICS & DELIVERIES,1999-07-05T00:00:00,(021) 25676999,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SMDR.jpg,SAMUDERA INDONESIA TBK
"SOUTH QUARTER TOWER A, LT. 19-20 JL. RA KARTINI, KAV. 8, JAKARTA SELATAN 12430",CONSTRUCTION MATERIALS,CONSTRUCTION MATERIALS,corporate.secretary@sig.id; investor.relations@sig.id,(021) 5261176,PRODUSEN SEMEN,SMGR,0010 0163 1905 1000,MAIN,BASIC MATERIALS,BASIC MATERIALS,1991-07-08T00:00:00,(021) 5261174; (021) 5261175,www.sig.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SMGR.jpg,SEMEN INDONESIA (PERSERO) TBK
"KAWASAN INDUSTRI BENUA PERMAI LESTARI JL. RAYA SERANG KM 25,6, DESA CISEREH, TIGARAKSA TANGERANG 15720",CONTAINERS & PACKAGING,CONTAINERS & PACKAGING,satyamitra@satyamira.com,+6221 5950089,BERGERAK DALAM BIDANG INDUSTRI ALAT PERMAINAN,SMKL,02.093.167.1-415.000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,2019-07-11T00:00:00,+6221 5950988,www.satyamitra.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SMKL.jpg,PT SATYAMITRA KEMAS LESTARI TBK
MENARA TEKNO LANTAI 7 JALAN FACHRUDDIN NOMOR 19 JAKARTA PUSAT 10250,HOLDING & INVESTMENT COMPANIES,FINANCIAL HOLDINGS,multiartha@smma.co.id,(021 ) 3925788,INVESTMENT COMPANY,SMMA,0013620026054000,MAIN,FINANCIALS,HOLDING & INVESTMENT COMPANIES,1995-07-05T00:00:00,(021) 3925660,www.smma.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SMMA.jpg,PT SINAR MAS MULTIARTHA TBK
"THE SUITES TOWER LT. 17, JL. BOULEVARD PANTAI INDAH KAPUK NO. 1 KAV OFS, JAKARTA UTARA 14470",COAL,COAL PRODUCTION,corsec@go-eagle.co.id; contact@go-eagle.co.id,021 - 22511057,PERTAMBANGAN BATUBARA,SMMT,01.361.266.8-054.000,DEVELOPMENT,ENERGY,"OIL, GAS & COAL",1997-12-01T00:00:00,021 - 22511055,www.go-eagle.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SMMT.jpg,GOLDEN EAGLE ENERGY TBK
JL. PERINTIS KEMERDEKAAN NO.42 JAKARTA TIMUR,REAL ESTATE MANAGEMENT & DEVELOPMENT,REAL ESTATE DEVELOPMENT & MANAGEMENT,corp_secretary@summarecon.com,021 - 4892976,PROPERTY DAN REAL ESTATE,SMRA,01.002.261.4-054.000,MAIN,PROPERTIES & REAL ESTATE,PROPERTIES & REAL ESTATE,1990-05-07T00:00:00,021 - 4714567,www.summarecon.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SMRA.jpg,PT SUMMARECON AGUNG TBK
"RUKAN PURI MUTIARA A.12 & A.15, JL. GRIYA UTAMA, RT.2/RW.5, SUNTER AGUNG, KEC. TJ. PRIOK, JAKARTA – 14350","OIL, GAS & COAL SUPPORTS","OIL, GAS & COAL EQUIPMENT & SERVICES",info@smrutama.com,021-65310823,PERTAMBANGAN BATU MANGAN MELALUI ANAK PERUSAHAAN,SMRU,03.052.285.8-048.000,WATCHLIST,ENERGY,"OIL, GAS & COAL",2011-10-10T00:00:00,021-65310822,www.smrutama.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SMRU.jpg,SMR UTAMA TBK
"WISMA ADR, JL. PLUIT RAYA I NO. 1, PENJARINGAN, JAKARTA UTARA 14440",AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,lidiana.widjojo@adr-group.com,021-661-8438/669-6237,AUTOMOTIVE AND COMPONENTS,SMSM,01.300.160.7-054.000,MAIN,CONSUMER CYCLICALS,AUTOMOBILES & COMPONENTS,1996-09-09T00:00:00,"(021) 661-00-33, 669-02-44. Ibu Lidia: Ext 327",http://www.smsm.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SMSM.jpg,SELAMAT SEMPURNA TBK
"JL. DANAU PERMAI RAYA BLOK C1 SUNTER, JAKARTA UTARA 14350",TOURISM & RECREATION,"HOTELS, RESORTS & CRUISE LINES",corporate@sunlakehotel.com,"(021) 650 9970, 651 9889, 650 2255",BERGERAK DI BIDANG INDUSTRI PERHOTELAN,SNLK,0015607526038000,DEVELOPMENT,CONSUMER CYCLICALS,CONSUMER SERVICES,2021-03-29T00:00:00,"(021) 650 9969, 650 1010, 650 1515, 3119 2888",www.hotelsunlake.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SNLK.jpg,PT SUNTER LAKESIDE HOTEL TBK
"SAHID SUDIRMAN CENTER 51ST FLOOR, JL. JEND. SUDIRMAN KAV. 86, JAKARTA PUSAT 10220",OIL & GAS,OIL & GAS STORAGE & DISTRIBUTION,tidak berubah,+62 21-8086-1001,"PERDAGANGAN, JASA, PENGANGKUTAN, PERINDUSTRIAN, PEMBANGUNAN, PERCETAKAN, PERTANIAN DAN PERBENGKELAN",SOCI,02.993.491.6-018.000,DEVELOPMENT,ENERGY,"OIL, GAS & COAL",2014-12-03T00:00:00,+62 21-8086-1000,tidak berubah,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SOCI.jpg,PT SOECHI LINES TBK
"KAWASAN INDUSTRI MILLENIUM JALAN MILENIUM 15 BLOK I-2 NO. 5A, KECAMATAN PANONGAN, KABUPATEN TANGERANG, BANTEN 15710",HOUSEHOLD GOODS,HOME FURNISHINGS,investor@boston-industries.com,021 29159120,"PENGOLAHAN MEBEL BERBAHAN DASAR KAYU DAN PRODUK KAYU LAINNYA, BERBAHAN DASAR LOGAM SERTA DISTRIBUSI DAN PENJUALAN MEBEL MELALUI PERUSAHAAN ANAK",SOFA,31.561.528.6-451.000,ACCELERATION,CONSUMER CYCLICALS,HOUSEHOLD GOODS,2020-07-07T00:00:00,021 29159118,www.boston-industries.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SOFA.jpg,PT BOSTON FURNITURE INDUSTRIES TBK
"JL. RAWA SUMUR II KAV BB NO. 3, KAWASAN INDUSTRI PULOGADUNG, KELURAHAN JATINEGARA, KECAMATAN CAKUNG, JAKARTA TIMUR 13930, INDONESIA",PHARMACEUTICALS,PHARMACEUTICALS,corporate.secretary@sohoglobalhealth.com,(021) 4683 0505,INDUSTRI DAN DISTRIBUSI ATAS PRODUK-PRODUK DI SEKTOR FARMASI DAN KESEHATAN MELALUI PERUSAHAAN ANAK,SOHO,0013 0329 6607 3000,DEVELOPMENT,HEALTHCARE,PHARMACEUTICALS & HEALTH CARE RESEARCH,2020-09-08T00:00:00,(021) 4683 4411,www.sohoglobalhealth.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SOHO.jpg,PT SOHO GLOBAL HEALTH TBK
"MENARA SUDIRMAN LANTAI 20, JL. JEND. SUDIRMAN KAV. 60, RT 005/RW 03, KELURAHAN SENAYAN, KECAMATAN KEBAYORAN BARU, JAKARTA SELATAN 12190",DEPARTMENT STORES,DEPARTMENT STORES,sonatopas@stti.co.id,021-5213066,BIRO PERJALANAN WISATA,SONA,01.370.985.2-054.000,DEVELOPMENT,CONSUMER CYCLICALS,RETAILING,1992-07-21T00:00:00,021-5213056,http://www.sonatopas.co.id/,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SONA.jpg,SONA TOPAS TOURISM INDUSTRY TBK
"GRAHA DINAMIKA, LANTAI 3 JL. TANAH ABANG II NO. 49-51 JAKARTA PUSAT 10160, INDONESIA",PROFESSIONAL SERVICES,HUMAN RESOURCE & EMPLOYMENT SERVICES,corporate.secretary@sos.co.id,+62 21 350 5913,"PENYEDIA ALIH DAYA, YAITU JASA KEAMANAN, JASA KEBERSIHAN, JASA SUMBER DAYA MANUSIA, JASA MANAJEMEN PARKIR DAN JASA PELATIHAN / OUTSOURCING SERVICE PROVIDER, NAMELY SECURITY SERVICE, CLEANING SERVICE, PROFESSIONAL EMPLOYEE SERVICE, PARKING MANAGEMENT SERVICE AND TRAINING CENTER SERVICE",SOSS,02.361.551.1-073.000,DEVELOPMENT,INDUSTRIALS,INDUSTRIAL SERVICES,2018-11-06T00:00:00,+62 21 350 5915,www.sos.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SOSS.jpg,PT SHIELD ON SERVICE TBK
"JL. PANGLIMA POLIM RAYA NO. 28, PULO, KEBAYORAN BARU, JAKARTA SELATAN",TOURISM & RECREATION,"HOTELS, RESORTS & CRUISE LINES",corsec@satriamegakencana.com,0,BERGERAK DALAM BIDANG PROPERTI DAN KAWASAN PARIWISATA,SOTS,02.415.097.1-019.000,DEVELOPMENT,CONSUMER CYCLICALS,CONSUMER SERVICES,2018-12-10T00:00:00,021-72781782,www.satriamegakencana.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SOTS.jpg,PT SATRIA MEGA KENCANA TBK
"JL. MASTRIP NO.856, KARANGPILANG SURABAYA",CONTAINERS & PACKAGING,CONTAINERS & PACKAGING,corp.sec@ptsuparmatbk.com,(031) 766 3287,PULP AND PAPER,SPMA,01.122.096.9-054.000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,1994-11-16T00:00:00,"(031) 766-666, 766-33-96, 766-24-90(-93) (Buyung : 031-705-82-380) Hendro Luhur HP : 0818-52-60-05",www.ptsuparmatbk.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SPMA.jpg,SUPARMA TBK
JL. LETJEN S.PARMAN KAV.81 JAKARTA BARAT 11420 INDONESIA,BUILDING PRODUCTS & FIXTURES,BUILDING PRODUCTS & FIXTURES,corpsec@suryapertiwi.co.id,(62-21) 568-0068,PERDAGANGAN BARANG SANITER DAN FITTING (WHOLESALE),SPTO,01.305.911.8-038.000,MAIN,INDUSTRIALS,INDUSTRIAL GOODS,2018-05-14T00:00:00,(62-21) 2929-8585,www.suryapertiwi.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SPTO.jpg,PT SURYA PERTIWI TBK
JL. HONORIS RAYA KAV.6 KOTA MODERN (MODERNLAND). KOTA TANGERANG 15117,HEALTHCARE PROVIDERS,HEALTHCARE PROVIDERS,corporate.secretary@mayapadahospital.com,021-5529036/5529420,PENYELENGGARAAN RUMAH SAKIT,SRAJ,0015621394054000,DEVELOPMENT,HEALTHCARE,HEALTHCARE EQUIPMENT & PROVIDERS,2011-04-11T00:00:00,021-55781888,www.mayapadahospital.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SRAJ.jpg,SEJAHTERARAYA ANUGRAHJAYA TBK
GRAHA KENCANA LT. 9 SUITE A JL. RAYA PERJUANGAN 88 JAKARTA 11530,CHEMICALS,BASIC CHEMICALS,bramandika@acidatama.co.id,021 - 5366 0698,CHEMICALS,SRSN,0013 6074 3705 4000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,1993-01-11T00:00:00,021-5366-0777,www.acidatama.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SRSN.jpg,INDO ACIDATAMA TBK
"MENARA KARYA LANTAI 15 JL. HR RASUNA SAID BLOK X-5, KAV 1-2, JAKARTA SELATAN 12950, INDONESIA",HOLDING & INVESTMENT COMPANIES,INVESTMENT COMPANIES,investor.relation@saratoga-investama.com,021 57944781,AKTIVITAS PERUSAHAAN HOLDING,SRTG,01.561.960.4-073.000,MAIN,FINANCIALS,HOLDING & INVESTMENT COMPANIES,2013-06-26T00:00:00,021 57944355,www.http://saratoga-investama.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SRTG.jpg,PT SARATOGA INVESTAMA SEDAYA TBK
TEMPO SCAN TOWER LANTAI 20 JL. HR RASUNA SAID KAVLING 3-4 JAKARTA SELATAN,HEAVY CONSTRUCTIONS & CIVIL ENGINEERING,HEAVY CONSTRUCTIONS & CIVIL ENGINEERING,inquiry@suryainternusa.com,(62-21) 526 7878,"PENGEMBANGAN KAWASAN INDUSTRI, PROPERTI, JASA KONSTRUKSI DAN PERHOTELAN MELALUI PENYERTAAN PADA ENTITAS ANAK",SSIA,01.302.653.9-054.000,MAIN,INFRASTRUCTURES,HEAVY CONSTRUCTIONS & CIVIL ENGINEERING,1997-03-27T00:00:00,"(62-21) 526 2121, 527 2121",www.suryainternusa.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SSIA.jpg,PT SURYA SEMESTA INTERNUSA TBK
"EQUITY TOWER, 43 F SUITE 43 D JL. JEND. SUDIRMAN KAV.52-53 SCBD LOT 9 JAKARTA 12190",AGRICULTURAL PRODUCTS,PLANTATIONS & CROPS,corporate@ssms.co.id,(021) 2903 5405,"MENJALANKAN USAHA DALAM BIDANG PERTANIAN, PERDAGANGAN DAN INDUSTRI",SSMS,01.580.402.4-054.000,MAIN,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2013-12-12T00:00:00,(021) 2903 5401,www.ssms.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SSMS.jpg,PT SAWIT SUMBERMAS SARANA TBK
"JALAN RAYA RANCAEKEK KM 25,5 KABUPATEN SUMEDANG-BANDUNG",APPAREL & LUXURY GOODS,TEXTILES,mahayopujiarto@yahoo.com,"022-7796435, 022-7798302",INDUSTRI TEKSTIL,SSTM,01.118.504.8-054.000,DEVELOPMENT,CONSUMER CYCLICALS,APPAREL & LUXURY GOODS,1997-08-20T00:00:00,022-7798289,www.sunson.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/SSTM.jpg,SUNSON TEXTILE MANUFACTURER TBK
"JL. PANGERAN DIPONEGORO NO. 51 MEDAN 20152, SUMATRA UTARA, INDONESIA",AGRICULTURAL PRODUCTS,PLANTATIONS & CROPS,corporate.secretary@sta.co.id,+62 61 414 8866,PERKEBUNAN KELAPA SAWIT DAN INDUSTRI PENGOLAHAN KELAPA SAWIT BAIK SECARA LANGSUNG DAN/ATAU PERUSAHAAN ANAK,STAA,01.597.585.7-123.000,MAIN,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2022-03-10T00:00:00,+62 61 415 6262,http://sta.co.id/,/Portals/0/StaticData/ListedCompanies/LogoEmiten/STAA.jpg,PT SUMBER TANI AGUNG RESOURCES TBK
